S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,221,221,0,
37,Vijayanagara,142,138,4,
38,Vijayapur,219,219,0,
39,Yadgir,142,95,47,
40,Forest Cell,47,31,16,
41,CID,210,158,52,
42,ISD Bengaluru,77,70,7,
43,State INT,712,499,213,
44,APTS Yelahanka,19,4,15,
45,Battalion I - Bangalore,63,36,27,
46,Battalion II - Belgaum,36,20,16,
47,Battalion III - Bangalore,52,49,3,
48,Battalion IV - Bangalore,43,29,14,
49,Battalion IX - Bangalore,35,35,0,
50,Battalion V - Mysore,39,32,7,
51,Battalion VI - Gulbarga,39,31,8,
52,Battalion VII - Mangalore,36,35,1,
53,Battalion VIII - Shimoga,43,39,4,
54,Battalion X - Haveri,40,31,9,
55,Battalion XI - Hassan,47,45,2,
56,Battalion XII Tumakuru,40,39,1,
57,Central Range,6,1,5,
58,Centre for Counter Terrorism,44,23,21,
59,Chief Office,126,42,84,
60,COMMANDANT MOUNTED,KARP 20,20,0,
61,Eastern Range,3,3,0,
62,FPB Unit,20,1,19,
63,FSL Madiwala,21,9,12,
64,I.R.B. Vijayapura,40,26,14,
65,IGP Railways,4,2,2,
66,IGP TRAINING,8,7,1,
67,IIIrd BN KSISF,27,25,2,
68,IInd BN KSISF,25,22,3,
69,IRB Munirabad,50,46,4,
70,ISD,142,136,6,
71,Ist BN KSISF,43,42,1,
72,Kalaburgi Range,6,3,3,
73,KPA Mysore,36,36,0,
74,KSPTS Channapatna,20,20,0,
,,,,,
