Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot District,336,336,100.00
2,Dharwad District,175,175,100.00
3,Koppal District,298,297,99.66
4,Vijayapur District,522,520,99.62
5,Mysuru City,240,238,99.17
6,Ballari District,331,328,99.09
7,Kolar District,263,256,97.34
8,Kalaburagi City,257,248,96.50
9,SP Railways,72,69,95.83
10,Tumakuru District,734,703,95.78
11,Chikkamagaluru District,396,379,95.71
12,Dakshina Kannada District,157,148,94.27
13,Gadag District,265,246,92.83
14,K.G.F District,100,91,91.00
15,Yadgir District,213,193,90.61
16,Davanagere District,478,430,89.96
17,Belagavi District,707,635,89.82
18,Uttara Kannada District,340,305,89.71
19,Udupi District,286,255,89.16
20,Chitradurga District,525,458,87.24
21,Chamarajanagar District,265,217,81.89
22,Bengaluru District,801,653,81.52
23,Mandya District,469,360,76.76
24,Ramanagara District,407,291,71.50
25,Vijayanagara District,447,289,64.65
26,Hassan District,482,295,61.20
27,Bengaluru City,4710,2640,56.05
28,Raichur District,411,225,54.74
29,Mangalore COP,283,127,44.88
30,Mysuru District,528,190,35.98
31,Hubballi Dharwad City,309,102,33.01
32,Madikeri District,212,69,32.55
33,Belagavi City,235,74,31.49
34,Kalaburagi District,293,80,27.30
35,Haveri District,287,77,26.83
36,Chickballapura District,351,79,22.51
37,Bidar District,316,61,19.30
38,Shivamogga District,636,61,9.59
Total,,18137,12200,67.27
