"Comparitive Crime Statement 17 for the Years 2022, 2023, and 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024 As on 31/08/2024,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,271,12,1,258,0,5,9,1,229,7,6,1,0,294,7,4,283,0,2,5,0,223,46,6,1,0,191,1,0,190,0,0,0,0,70,118,2,0,
Cow Slaughter,408,3,2,403,0,9,5,1,364,7,15,2,0,264,6,4,254,0,5,0,1,233,11,3,1,0,168,0,2,166,0,0,0,0,62,100,4,0,
Animal Sacrifice Act,460,20,2,438,0,25,5,2,373,2,30,1,0,347,16,1,330,0,28,2,0,261,15,23,1,0,231,6,1,224,0,3,1,0,80,135,5,0,
P.I.T Act,243,3,0,240,0,4,1,0,231,3,1,0,0,313,2,1,310,0,1,0,0,250,58,0,1,0,201,1,1,199,0,0,0,0,72,127,0,0,
POCSO,3206,56,97,3053,0,115,1189,5,1682,6,10,26,20,3885,52,172,3661,0,41,672,0,2856,47,13,20,12,2687,20,110,2557,0,0,27,0,1742,774,3,7,
K.P Act,460,6,1,453,0,207,6,2,219,1,4,11,3,1309,206,1,1102,0,337,10,5,706,25,5,13,1,402,23,0,379,0,41,4,0,262,71,0,1,
E.C Act,815,25,2,788,0,5,12,0,684,35,11,39,2,491,9,1,481,0,3,3,0,338,118,2,17,0,324,5,0,319,0,0,0,0,76,241,0,2,
SC/ST/Act,2137,392,121,1624,1,10,244,3,1278,57,4,22,6,2146,383,40,1723,1,1,46,1,1560,85,8,17,5,1470,149,30,1291,0,1,3,1,824,460,0,1,
Explosive Act,62,4,1,57,0,9,0,0,34,5,8,1,0,270,2,0,268,0,37,0,0,158,64,4,5,0,56,0,0,56,0,0,0,0,5,51,0,0,
