Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",15642,1072,2196,2021
,Sub Total,15642,1072,2196,2021
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,1,0,1,0
,Gang Rape,8,0,1,1
,Rape with Murder,0,0,0,0
,Rape,1908,179,262,179
,Others,791,87,113,89
,Sub Total,2708,266,377,269
,Total (Item 1 to 36),51146,4284,6692,5950
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,7,5,1,0
,1.3 other Cases of Rape,431,42,50,51
,Sub Total,438,47,51,51
2,Outraging modesty (Molestation) (sec.354 IPC),4817,501,638,553
3,Kidnapping & Abduction of Women: (Sec.366 IPC),114,12,13,12
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",102,7,18,16
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",6,1,0,4
7,Murder for other reasons,302,34,37,25
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",37,4,5,5
10,Attempt to Commit murder for other reasons,631,50,91,70
11,"Dowry Death-by burning
(Sec.304-B IPC)",2,0,1,0
12,Dowry Death-by other Means (Sec.304(B) IPC),117,11,12,22
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2284,215,327,256
14,Abetment of Suicide (Sec.306 IPC),108,20,12,6
15,Immoral Traffic (prevention) Act.,218,20,35,22
16,"Indecent Representation of Women(Prohibition) Act-
1986",1,0,0,1
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",95,13,10,12
19,Offences related to Marriage,29,3,4,3
20,Cyber Crimes,5626,398,762,666
,Total (Item 1 to 20),14927,1336,2016,1724
