Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 9 7,803,1100,310,1470,1780
2,State Highways,264,628,892,273,1180,1453
3,Other Roads,3 69,1197,1566,380,1802,2182
,TOTAL,930,2628,3558,963,4452,5415
