Aadhaar e-Sign details of Chargesheet for the Month of April 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dakshina Kannada,12,11,91.67
2,Ballari,57,43,75.44
3,Gadag,14,10,71.43
4,Udupi,112,77,68.75
5,Chamarajanagar,35,21,60.00
6,Haveri,45,24,53.33
7,Vijayapur,8,4,50.00
8,Bagalkot,38,17,44.74
9,Hubballi Dharwad City,41,17,41.46
10,Uttara Kannada,49,19,38.78
11,Dharwad,13,5,38.46
12,Kalaburagi City,28,10,35.71
13,Belagavi Dist,55,16,29.09
14,Koppal,39,10,25.64
15,Shivamogga,24,5,20.83
16,Kodagu,36,6,16.67
17,Tumakuru,104,9,8.65
18,Mangaluru City,15,1,6.67
19,Mandya,217,11,5.07
20,Kalaburagi,25,1,4.00
21,Belagavi City,33,1,3.03
22,Hassan,73,1,1.37
23,Raichur,73,1,1.37
24,Bengaluru City,1847,17,0.92
25,Bengaluru Dist,50,0,0.00
26,Bidar,46,0,0.00
27,Chickballapura,42,0,0.00
28,Chikkamagaluru,44,0,0.00
29,Chitradurga,15,0,0.00
30,Davanagere,23,0,0.00
31,K.G.F,3,0,0.00
32,Karnataka Railways,4,0,0.00
33,Kolar,27,0,0.00
34,Mysuru City,18,0,0.00
35,Mysuru Dist,71,0,0.00
36,Ramanagara,40,0,0.00
38,Vijayanagara,22,0,0.00
39,Yadgir,60,0,0.00
TOTAL,,3458,337,9.75
