Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
11,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2)
BNS)",,,,
,At Residential Premises,229,75,82,69
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,12,4,4,2
,In Other Places,9,1,3,4
,Temple Theft,5,1,1,3
,Sub Total,255,81,90,78
,Total Burglary (Burglary Day + Burglary Night),1173,373,385,345
12,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,20,6,5,8
,Of Automobiles - Of Tractors,16,12,4,8
,In Running Bus,28,11,11,10
,Of Snatching,121,74,42,40
,At ATM,9,2,6,3
,Of Sand,514,146,173,167
,Government Office,7,5,3,2
,Of Mines,18,3,4,3
,Communication And Elec. Wire,96,22,29,38
,Of Cattle,156,49,40,60
,Of Cycle,7,3,1,4
,Of Automobiles - Of Lorries/Trucks,16,13,6,6
,Of Automobiles - Of Buses,1,0,1,0
,Of Automobiles - Of Cars / Jeeps,45,16,13,11
,Of Automobiles - Of Two Wheelers,2081,780,648,704
,Of Automobies - of Three Wheelers,45,10,11,26
,Of Accessories of Motor Vehicle,35,16,12,9
,Govt. Vehicle,0,1,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",218,90,70,66
,Of Fire Arms,1,2,0,1
,Of Explosives,0,0,0,0
,Of Cultural - Idols,1,0,1,0
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,48,17,17,15
,Cash,106,43,40,37
,Jewellery,340,129,115,123
,Other Items Not Included Above,425,144,146,123
,In Running Train,5,7,1,3
,Extortion,59,22,17,24
,House Theft,516,156,164,176
,Servant Theft,157,40,53,46
,Sub Total,5091,1819,1633,1713
13,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,238,73,62,87
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,1,0,0,0
,Labour - Public Sector,0,0,0,0
,Linguistic,0,0,0,0
,Political,1,2,1,0
,Regional,3,0,1,2
,Sectarian,0,0,0,0
,Students,1,1,0,0
,Tribal,0,0,0,0
,Due to Village Disputes,4,4,0,4
,Communal,4,0,2,1
,Industrial,2,0,1,1
,Caste,0,1,0,0
,Agrarian,0,0,0,0
,Others,663,217,201,237
,Sub Total,917,298,268,332
