DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF FEBRUARY - 2023 (AS ON 7/03/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,5,1,2,4,20,3,4,3,1,4,3,1,3,1,4,3,1,1,4,5,2,1,2,0,3,5,3,4,1,4,2,3,4,2,3,2,4,1,119
2,DACOITY,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14
3,ROBBERY,2,0,2,0,30,3,0,1,1,0,1,0,1,1,0,3,0,0,1,0,2,0,0,1,0,2,0,4,2,0,2,5,2,0,3,0,1,1,71
3a,CHAIN SNATCHING,2,0,0,1,17,5,2,0,0,0,2,0,2,1,2,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,3,1,1,0,0,1,49
4a,BURGLARY - DAY,2,2,0,2,17,6,3,2,1,5,1,0,0,1,0,1,2,1,0,5,4,0,1,0,1,1,1,2,3,2,4,0,5,2,0,0,0,0,77
4b,BURGLARY - NIGHT,7,5,10,14,64,21,12,4,11,12,7,4,14,8,8,19,12,10,1,5,9,0,0,3,7,6,2,16,14,2,5,11,23,5,2,6,7,5,371
5,THEFT,17,26,24,53,619,92,28,7,17,27,30,8,57,15,8,30,24,15,9,30,30,71,4,18,32,39,12,36,28,31,39,21,47,10,13,20,24,15,1626
6,RIOTS,10,4,9,24,12,11,5,5,13,7,25,3,13,3,5,8,19,4,1,13,6,0,0,8,4,6,0,0,15,15,4,10,6,0,3,7,11,7,296
7,CASES OF HURT,7,5,16,32,240,45,42,34,28,39,44,13,15,7,4,73,28,13,13,23,13,2,20,34,8,45,6,20,79,21,37,65,52,9,19,16,26,10,1203
8,Spl & Local laws,70,69,26,174,1608,103,121,54,65,73,80,28,85,36,51,109,73,56,32,55,40,4,23,17,52,70,17,45,89,88,91,68,93,58,74,68,89,74,4028
