S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,209,80,129,
37,Vijayanagara,162,83,79,
38,Vijayapura,204,176,28,
39,Yadgir,163,49,114,
40,Forest Cell,39,9,30,
41,CID,239,23,216,
42,ISD Bengaluru,87,12,75,
43,State INT,757,57,700,
44,APTS Yelahanka,20,4,16,
45,Battalion I - Bangalore,65,38,27,
46,Battalion II - Belgaum,41,37,4,
47,Battalion III - Bangalore,60,56,4,
48,Battalion IV - Bangalore,57,43,14,
49,Battalion IX - Bangalore,47,42,5,
50,Battalion V - Mysore,46,43,3,
51,Battalion VI - Gulbarga,43,23,20,
52,Battalion VII - Mangalore,37,33,4,
53,Battalion VIII - Shimoga,40,37,3,
54,Battalion X - Haveri,44,38,6,
55,Battalion XI - Hassan,38,35,3,
56,Battalion XII Tumakuru,48,44,4,
57,Centre for Counter Terrorism,66,0,66,
58,Chief Office,133,0,133,
59,COMMANDANT MOUNTED,KARP 23,10,13,
60,DCRE Headquarters Bengalu,ru 44,13,31,
61,DCRE HQ PS Bengaluru,7,3,4,
62,Eastern Range,3,1,2,
63,FPB Unit,11,4,7,
64,FSL Madiwala,27,1,26,
65,I.R.B. Vijayapura,47,32,15,
66,IGP Railways,2,0,2,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,42,12,30,
69,IInd BN KSISF,40,12,28,
70,IRB AVATHI,1,0,1,
71,IRB Munirabad,51,45,6,
72,ISD,173,63,110,
73,Ist BN KSISF,48,0,48,
74,Kalaburgi Range,9,1,8,
,,,,,
