Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Religious,0,0,0,0
,Others,0,1,2,0
,Sub Total,0,3,3,0
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,1,0,0,1
,Club,0,0,0,0
,Hostel,0,0,0,0
,Hotel,0,0,1,0
,House,43,39,50,43
,Land,92,67,119,92
,Office,4,1,2,4
,Prohibited Places,0,2,0,0
,Religious Place,3,0,0,3
,Restricted Area,0,0,1,0
,Others,23,11,15,23
,Sub Total,166,120,188,166
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,72,82,79,72
,Husband And Relative(S) in Law,95,104,122,95
,Relative(S) in Law,3,2,1,3
,Dowry Harassment,45,31,29,45
,Prevention of Gaming,0,0,0,0
,Sub Total,215,219,231,215
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,0,2,0,0
,By Husband And Relatives In Law,1,4,9,1
,By Relatives in Law,0,0,0,0
,By Burning,0,0,0,0
,By Hanging,3,5,6,3
,By Other Means,1,2,1,1
,Sub Total,5,13,16,5
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,2,1,4,2
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,0,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,0,0,1,0
,Caused By Animal,1,0,0,1
,Death Due to Other Cause,3,11,1,3
,Electrocution Accident,5,3,5,5
,Explosion Accident,0,0,0,0
,Fire accident,0,0,0,0
,Gas Leakage Accident,0,1,0,0
,Improper Infrastucture In Construction,11,6,7,11
,Improper Medical Treatment,1,0,1,1
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,0,0,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),0,0,2,0
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,0,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,8,7,8,8
,Sub Total,31,29,29,31
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,298,314,340,298
,State Highways,267,248,263,267
,Other Roads,340,373,356,340
,Other Places,16,20,21,16
,Sub Total,921,955,980,921
