DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JUNE - 2024 (AS ON 01/07/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,3,0,1,3,20,5,3,2,3,2,4,3,0,0,0,5,1,1,0,4,1,0,1,2,1,1,0,3,2,2,1,4,2,0,1,0,7,1,89
2,DACOITY,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,11
3,ROBBERY,0,0,3,0,51,3,1,0,2,0,1,1,4,0,0,2,0,2,0,0,5,2,0,1,1,0,0,1,2,3,1,4,4,2,1,1,0,1,99
3a,CHAIN SNATCHING,0,1,3,2,21,4,0,0,1,0,1,0,2,0,0,2,0,1,0,0,1,3,1,0,1,1,0,3,1,1,5,1,2,0,0,0,0,0,58
4a,BURGLARY - DAY,2,0,2,3,17,8,3,0,4,5,4,1,1,0,0,5,1,3,3,4,1,0,0,3,4,4,1,0,6,3,4,2,3,1,1,2,5,0,106
4b,BURGLARY - NIGHT,9,6,5,12,72,24,7,8,4,4,11,8,15,0,5,19,14,4,8,9,9,0,4,8,5,13,6,11,21,11,9,11,25,6,6,7,9,2,407
5,THEFT,30,27,20,44,859,133,44,7,23,31,37,10,38,9,16,28,45,17,10,27,27,65,4,20,21,33,21,35,52,45,42,43,66,22,10,15,25,26,2027
6,RIOTS,9,19,6,21,7,9,15,2,16,2,28,3,18,8,8,7,37,2,3,10,5,0,1,9,6,5,2,1,5,21,1,23,5,2,10,14,11,12,363
7,CASES OF HURT,13,24,16,39,316,58,51,33,36,43,80,18,28,12,12,79,17,20,7,39,21,2,26,41,7,37,13,16,54,35,42,57,54,21,29,10,35,31,1472
8,Spl & Local laws,71,107,30,63,2047,150,60,66,83,88,96,30,152,50,54,97,57,89,19,45,42,8,53,41,82,100,107,64,80,79,72,212,196,68,67,152,82,48,5007
9a,RAPE,1,0,1,0,23,1,1,0,0,0,2,0,0,0,1,1,1,1,0,2,2,0,1,0,1,0,4,2,1,2,0,1,1,0,1,1,2,1,55
9b,DOWRY DEATHS,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10
10,POCSO,10,2,1,7,49,6,4,9,13,9,8,7,9,5,2,8,7,6,1,2,2,0,6,8,4,7,5,3,12,9,5,15,14,4,8,3,6,4,280
