Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
45,"OFFENCES AGAINST PUBLIC SERVANTS
(Public servant is a victim) (Sec 182-188, 332,
333, 353 IPC/217-223,121(1),121(2), 132 BNS)",,,,
,Attempt to Commit,9,1,5,0
,Defence Personnel,1,0,1,0
,Jail Personnel,3,1,0,1
,Judicial Official,10,2,4,3
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,1,0,1,0
,Other Elected Member,3,1,1,1
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,122,34,33,47
,Para Military Personnel,1,0,1,0
,Police Personnel,134,38,43,53
,Public Sector Undertaking Official,39,12,15,12
,Sub Total,323,89,104,117
46,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 129, 167, 218, 221, 222
IPC/156,157,201,256,259,260 BNS)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,0,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,0,1,0,0
,Para Military Personnel,0,0,0,0
,Police Personnel,0,0,0,0
,Public Sector Undertaking Official,1,0,0,0
,Others,0,0,0,0
,Sub Total,1,1,0,0
47,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC/282 to 291,125 to 125(b)
except 285 BNS)",,,,
,Death Causeed By Electric Shock,17,5,4,10
,Animal -Related,14,3,4,8
,Boat/Vessel - Related,0,0,0,0
,Explosive/Explosive Substances - Related,8,3,2,3
,Inflammable Substance- Related,7,3,2,4
,Machinery - Related,32,10,9,8
,Poisonous Substance - Related,5,0,0,2
,Other - Related,555,141,125,327
,Human - Related,430,54,80,258
,Sub Total,1068,219,226,620
48,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC/317(2) TO 317(5) BNS)",1,1,0,0
49,SEDITION (Sec. 124A IPC/IN BNS Deleted),,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC/79 BNS)",,,,
,Attempt to Commit,5,0,3,2
,Office,4,1,1,2
,Public Conveyance,1,0,0,1
,Public Place,38,3,15,15
,Other Places,66,5,27,19
,Sub Total,114,9,46,39
