Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot District,312,311,99.68
2,Koppal District,325,322,99.08
3,Vijayapur District,554,546,98.56
4,Dharwad District,174,170,97.70
5,SP Railways,76,74,97.37
6,Gadag District,182,176,96.70
7,Chikkamagaluru District,360,346,96.11
8,Uttara Kannada District,316,283,89.56
9,Mysuru City,238,210,88.24
10,Kalaburagi City,221,194,87.78
11,Tumakuru District,836,719,86.00
12,Ramanagara District,440,375,85.23
13,Chitradurga District,621,526,84.70
14,Dakshina Kannada District,180,152,84.44
15,Ballari District,340,270,79.41
16,Davanagere District,478,352,73.64
17,Haveri District,390,287,73.59
18,Udupi District,283,202,71.38
19,Belagavi District,623,428,68.70
20,K.G.F District,107,73,68.22
21,Yadgir District,244,148,60.66
22,Chamarajanagar District,306,181,59.15
23,Raichur District,457,268,58.64
24,Kolar District,282,153,54.26
25,Mandya District,538,287,53.35
26,Hassan District,619,328,52.99
27,Bengaluru District,945,412,43.60
28,Bengaluru City,4095,1650,40.29
29,KODAGU(Madikeri) District,252,100,39.68
30,Hubballi Dharwad City,367,140,38.15
31,Vijayanagara District,345,125,36.23
32,Belagavi City,210,74,35.24
33,Mysuru District,713,168,23.56
34,Mangalore COP,323,47,14.55
35,Kalaburagi District,342,47,13.74
36,Chickballapura District,492,60,12.20
37,Bidar District,499,54,10.82
38,Shivamogga District,660,14,2.12
Total,,18745,10272,54.80
