Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 1,831,1132,321,1591,1912
2,State Highways,199,565,764,196,1044,1240
3,Other Roads,2 88,1221,1509,287,1826,2113
,TOTAL,788,2617,3405,804,4461,5265
