Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,3,Mandya District,3
Bagalkot District,2,Kalaburgi City,1
Mangalore City,1,Chamarajanagar District,1
Chikkaballapur District,1,Belagavi District,1
Kolar District,1,Shivamogga District,1
Yadgiri District,1,,
