Aadhaar e-Sign details of Chargesheet for the Month of July 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,61,61,100.00
2,Mangalore COP,160,142,88.75
3,Chikkamagaluru District,134,117,87.31
4,Dharwad District,66,54,81.82
5,Mysuru City,77,63,81.82
6,Mandya District,211,172,81.52
7,Vijayanagara District,116,94,81.03
8,Gadag District,99,80,80.81
9,Udupi District,118,89,75.42
10,Uttara Kannada District,134,101,75.37
11,Dakshina Kannada District,76,57,75.00
12,Ballari District,67,50,74.63
13,Belagavi City,48,35,72.92
14,Chamarajanagar District,95,68,71.58
15,Belagavi District,177,126,71.19
16,Hassan District,176,124,70.45
17,Davanagere District,156,94,60.26
18,Bengaluru District,252,137,54.37
19,Ramanagara District,107,57,53.27
20,Yadgir District,71,35,49.30
21,Haveri District,38,18,47.37
22,Hubballi Dharwad City,57,26,45.61
23,K.G.F District,40,16,40.00
24,Mysuru District,136,49,36.03
25,Tumakuru District,260,90,34.62
26,Chitradurga District,100,34,34.00
27,Kalaburagi City,21,7,33.33
28,SP Railways,12,4,33.33
29,Kolar District,63,19,30.16
30,Bagalkot District,30,9,30.00
31,Vijayapur District,57,17,29.82
32,Bengaluru City,1788,480,26.85
33,Shivamogga District,138,32,23.19
34,KODAGU(Madikeri) District,53,12,22.64
35,Raichur District,141,30,21.28
36,Bidar District,63,11,17.46
37,Kalaburagi District,41,6,14.63
38,Chickballapura District,177,15,8.47
Total,,5616,2631,46.85
