Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Yadgir District,247,244,98.79
2,Uttara Kannada District,377,368,97.61
3,Koppal District,338,328,97.04
4,Vijayapur District,411,397,96.59
5,Chikkamagaluru District,332,316,95.18
6,Dharwad District,141,132,93.62
7,Bagalkot District,384,356,92.71
8,SP Railways,76,67,88.16
9,Mysuru City,423,367,86.76
10,Chitradurga District,582,493,84.71
11,Ballari District,366,284,77.60
12,Vijayanagara District,244,184,75.41
13,Belagavi District,514,362,70.43
14,Raichur District,410,280,68.29
15,Davanagere District,466,277,59.44
16,Tumakuru District,741,440,59.38
17,Belagavi City,237,137,57.81
18,Dakshina Kannada District,200,112,56.00
19,Haveri District,295,160,54.24
20,K.G.F District,116,58,50.00
21,Mandya District,533,264,49.53
22,Gadag District,275,135,49.09
23,Bengaluru South District,415,195,46.99
24,Hubballi Dharwad City,184,85,46.20
25,Udupi District,234,99,42.31
26,Kalaburagi City,242,102,42.15
27,Chamarajanagar District,273,94,34.43
28,Hassan District,511,163,31.90
29,Kolar District,271,85,31.37
30,Bengaluru City,4917,1468,29.86
31,KODAGU(Madikeri) District,200,53,26.50
32,Bengaluru District,752,181,24.07
33,Bidar District,380,68,17.89
34,Mangalore COP,302,36,11.92
35,Kalaburagi District,346,29,8.38
36,Mysuru District,503,25,4.97
37,Chickballapura District,416,19,4.57
38,Shivamogga District,520,14,2.69
Total,,18174,8477,46.64
