"Comparitive Crime Statement 17 for the Years 2022, 2023, and 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024 As on 30/04/2024,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,272,11,1,260,0,5,2,1,234,11,6,1,0,295,5,3,287,0,1,2,0,192,87,5,0,0,78,1,0,77,0,0,0,0,11,66,0,0,
Cow Slaughter,406,3,2,401,0,8,3,1,363,9,15,2,0,261,5,4,252,0,3,0,0,212,33,3,1,0,70,0,0,70,0,0,0,0,10,59,1,0,
Animal Sacrifice Act,462,20,2,440,0,24,3,1,373,8,30,1,0,346,14,1,331,0,23,1,0,248,42,16,1,0,101,1,1,99,0,0,0,0,14,85,0,0,
P.I.T Act,241,3,0,238,0,4,1,0,228,4,1,0,0,313,2,1,310,0,0,0,0,212,97,0,1,0,112,0,0,112,0,0,0,0,19,93,0,0,
POCSO,3192,56,96,3040,0,94,997,5,1887,5,10,22,20,3855,51,171,3633,0,18,389,0,3089,103,9,17,8,1238,6,50,1182,0,0,0,0,466,716,0,0,
K.P Act,460,6,1,453,0,193,6,2,233,1,4,11,3,1309,199,1,1109,0,276,4,2,749,63,2,12,1,257,1,0,256,0,14,1,0,119,122,0,0,
E.C Act,815,22,2,791,0,5,8,0,679,53,10,35,1,491,7,1,483,0,2,1,0,261,202,2,15,0,172,3,0,169,0,0,0,0,7,161,0,1,
SC/ST/Act,2137,389,122,1626,1,7,193,3,1334,62,4,19,4,2144,366,41,1737,0,0,22,0,1576,116,7,13,3,810,44,18,748,0,0,0,0,238,510,0,0,
Explosive Act,62,4,1,57,0,7,0,0,35,6,8,1,0,270,1,0,269,0,17,0,0,122,127,3,0,0,32,0,0,32,0,0,0,0,0,32,0,0,
N.D.P.S AcT,6406,14,3,6389,0,2305,77,14,3943,18,13,13,6,6764,12,0,6752,0,2136,49,8,4210,338,5,3,3,1144,0,0,1144,0,94,0,0,552,497,0,1,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,4,1,0,3,0,0,0,0,3,0,0,0,0,13,0,0,13,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R.P.Act,6,2,0,4,0,0,0,0,2,2,0,0,0,338,57,7,274,0,55,1,2,187,4,18,6,1,85,0,0,85,0,0,0,0,0,84,1,0,
Children Act,355,37,14,304,0,22,13,1,252,12,1,3,0,369,60,14,295,0,18,3,0,212,56,5,1,0,130,2,2,126,0,4,0,0,7,115,0,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Gambling Act,13045,1,0,13044,0,7631,203,84,5042,13,1,56,14,13664,5,2,13657,0,5912,70,80,7366,205,1,19,4,4275,0,1,4274,0,364,3,10,2412,1483,0,2,
Excise Act,8865,0,0,8865,0,4271,403,73,4020,3,2,51,42,9332,3,1,9328,0,2850,142,48,6047,160,32,25,24,3070,1,0,3069,0,201,3,8,1080,1776,0,0,
D.P Act,2238,211,52,1975,0,1,169,13,1657,84,0,49,2,2315,129,50,2136,0,0,30,1,1304,790,0,11,0,660,3,10,647,0,0,0,0,41,606,0,0,
Other Special and Local Laws,14476,272,21,14183,0,401,44,2311,1680,1130,8570,40,7,25618,247,35,25336,0,953,36,1558,2676,13470,6615,24,4,8195,13,7,8175,0,51,6,9,237,7800,71,1,
Sub Total - PART-III,53443,1053,317,52073,1,14978,2122,2509,21965,1421,8675,304,99,67697,1163,332,66202,0,12264,750,1699,28673,15896,6723,149,48,20430,75,89,20266,0,728,13,27,5213,14206,73,5,
