Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Other than religious,0,0,0,0
,Trust - Religious,0,0,0,0
,Others,8,1,1,1
,Sub Total,14,1,1,2
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,12,0,1,0
,Club,2,1,1,1
,Hostel,11,1,0,1
,Hotel,16,1,2,1
,House,640,48,65,66
,Land,1377,116,101,115
,Office,46,4,4,2
,Prohibited Places,20,0,3,1
,Religious Place,10,0,1,0
,Restricted Area,13,2,1,1
,Others,211,25,7,22
,Sub Total,2358,198,186,210
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,1007,97,79,77
,Husband And Relative(S) in Law,1297,101,115,98
,Relative(S) in Law,24,3,1,2
,Dowry Harassment,437,26,35,42
,Prevention of Gaming,3,0,0,1
,Sub Total,2768,227,230,220
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,4,0,0,1
,By Husband And Relatives In Law,39,7,4,2
,By Relatives in Law,0,0,0,0
,By Burning,1,1,0,0
,By Hanging,56,7,4,2
,By Other Means,5,0,1,0
,Sub Total,105,15,9,5
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,20,1,0,5
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,1,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,5,0,0,0
,Caused By Animal,4,0,0,2
,Death Due to Other Cause,83,8,13,4
,Electrocution Accident,51,4,5,1
,Explosion Accident,1,0,0,0
,Fire accident,4,0,0,1
,Gas Leakage Accident,3,0,0,0
,Improper Infrastucture In Construction,69,8,5,7
,Improper Medical Treatment,4,0,0,0
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,1,1,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),6,1,0,1
,Inflammable Substance,0,0,0,0
,Mine Accident,1,0,1,0
,Poisonous Substance,1,0,0,0
,Quarry Accident,0,0,0,0
,Spurious Liquor (Hooch) Accident,1,0,0,0
,Railway Accident,2,0,1,0
,Others,82,10,14,4
,Sub Total,339,33,39,25
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,3576,355,356,309
,State Highways,2822,258,234,249
,Other Roads,3836,359,314,351
,Other Places,165,23,10,16
,Sub Total,10399,995,914,925
