"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(August -2024)","During the current
Year Upto the month
under review","During the month
under review
(August-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2659,23788,1911,15917
2,Mysuru City,251,1761,48,483
3,Hubballi Dharwad City,226,1183,130,746
4,Mangaluru City,179,1406,127,1014
5,Belagavi City,148,1165,30,277
6,Kalaburagi City,125,1129,69,397
,Central Range,,,,
1,Bengaluru Dist,645,5172,136,1273
2,Ramanagara,431,2774,83,600
3,Tumakuru,584,4324,130,1301
4,Kolar,155,1508,36,369
5,Chickballapura,232,1853,60,823
6,K.G.F,57,538,17,255
,Eastern Range,,,,
1,Chitradurga,345,2994,104,984
2,Davanagere,233,2122,105,908
3,Shivamogga,316,3042,151,1217
4,Haveri,158,1675,59,720
,Western Range,,,,
1,Dakshina Kannada,101,1282,35,254
2,Udupi,188,1815,55,494
3,Chikkamagaluru,207,1775,91,674
4,Uttara Kannada,174,1724,66,583
,Northern Range,,,,
1,Belagavi Dist,279,2977,63,783
2,Bagalkot,164,1433,51,607
3,Vijayapur,204,1968,65,756
4,Dharwad,57,725,27,344
5,Gadag,107,712,65,522
,North Eastern Range,,,,
1,Kalaburagi,207,1744,122,642
2,Bidar,205,2009,70,578
3,Yadgir,107,1089,144,539
,Southern Range,,,,
1,Mysuru Dist,355,3192,60,590
2,Mandya,406,2872,234,842
3,Chamarajanagar,164,1313,79,483
4,Hassan,384,3470,98,810
5,Kodagu,107,957,32,372
,Ballari Range,,,,
1,Ballari,169,1399,122,912
2,Koppal,139,1158,106,692
3,Raichur,259,1833,161,1003
4,Vijayanagara,132,1145,69,671
,Karnataka Railways,80,598,6,73
,STATE,10939,93624,5017,40508
