Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",2,1,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),66,2,5,9
4,Kidnapping & Abduction of Children,3766,257,350,335
4.1,For Ransom - of Children,11,1,0,1
4.2,of Children - for begging,0,0,1,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,4,0,1,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,16,0,2,2
,Sub Total,3797,258,354,338
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,152,11,11,10
7,POCSO Act,3938,427,296,279
8,Death of Children due to miscarriage,30,1,3,1
9,Juvenile Justice Act,142,9,8,13
10,Child Labour (Pro.& Reg.) Act,105,11,11,3
11,Probation of Offenders Act,1,0,0,0
,Total (Item 1 to 11),8233,720,688,653
