S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,150,143,7,
2,Ballari,156,129,27,
3,Belagavi City,227,218,9,
4,Belagavi Dist,271,253,18,
5,Bengaluru City,"3,189","2,801",388,
6,Bengaluru Dist,225,110,115,
7,Bidar,181,144,37,
8,Chamarajanagar,109,109,0,
9,Chickballapura,124,119,5,
10,Chikkamagaluru,191,146,45,
11,Chitradurga,185,118,67,
12,Coastal Security Police,55,27,28,
13,Dakshina Kannada,155,155,0,
14,Davanagere,177,104,73,
15,Dharwad,107,107,0,
16,Gadag,121,97,24,
17,Hassan,192,146,46,
18,Haveri,161,127,34,
19,Hubballi Dharwad City,213,148,65,
20,K.G.F,75,51,24,
21,Kalaburagi,199,100,99,
22,Kalaburagi City,161,111,50,
23,Karnataka Railways,94,86,8,
24,Kodagu,141,96,45,
25,Kolar,165,121,44,
26,Koppal,137,136,1,
27,Mandya,191,150,41,
28,Mangaluru City,223,142,81,
29,Mysuru City,205,115,90,
30,Mysuru Dist,165,101,64,
31,Raichur,177,152,25,
32,Ramanagara,159,99,60,
33,Shivamogga,202,201,1,
34,Tumakuru,251,116,135,
35,Udupi,144,131,13,
,,,,,
