Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,0,0
,1.2 Gang Rape,12,1,0,2
,1.3 other Cases of Rape,523,53,51,49
,Sub Total,536,54,51,51
2,Outraging modesty (Molestation) (sec.354 IPC),5475,594,472,457
3,Kidnapping & Abduction of Women: (Sec.366 IPC),113,12,6,16
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",146,13,27,21
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",11,1,2,1
7,Murder for other reasons,316,36,32,21
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",1,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",32,3,4,3
10,Attempt to Commit murder for other reasons,635,52,51,68
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,1,1,0
12,Dowry Death-by other Means (Sec.304(B) IPC),99,13,13,9
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2584,292,248,244
14,Abetment of Suicide (Sec.306 IPC),261,9,12,6
15,Immoral Traffic (prevention) Act.,251,23,23,27
16,"Indecent Representation of Women(Prohibition)
Act-1986",1,0,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-
333-353 IPC)",108,13,20,5
19,Offences related to Marriage,26,2,2,3
20,Cyber Crimes,5717,704,556,517
,Total (Item 1 to 20),16313,1822,1520,1449
