Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",1,0,0,1
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),5,5,9,5
4,Kidnapping & Abduction of Children,351,324,308,351
4.1,For Ransom - of Children,3,0,1,3
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,0,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,3,1,2,3
,Sub Total,357,325,311,357
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,11,8,10,11
7,POCSO Act,304,348,319,304
8,Death of Children due to miscarriage,0,3,1,0
9,Juvenile Justice Act,12,9,13,12
10,Child Labour (Pro.& Reg.) Act,10,13,3,10
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),700,711,666,700
