Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,RAPE (Sec.376 IPC/64 BNS),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,8,0,0,1
,1.3 other Cases of Rape,541,67,79,68
,Sub Total,549,67,79,69
2,"Outraging modesty (Molestation) (sec.354 IPC/74
BNS)",3453,430,525,487
3,"Kidnapping & Abduction of Women: (Sec.366
IPC/87 BNS)",67,15,10,8
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC/296 & 79 BNS if victim is a woman)",228,27,39,32
5,"Murder for Dowry - by burning (Sec.302 IPC/103
BNS)",1,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC/103 BNS)",5,3,0,1
7,Murder for other reasons,210,24,29,19
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC/109 BNS)",1,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC/109 BNS)",12,2,0,2
10,Attempt to Commit murder for other reasons,575,47,99,66
11,"Dowry Death-by burning
(Sec.304-B IPC/80 BNS)",1,0,0,0
12,"Dowry Death-by other Means (Sec.304(B) IPC/80
BNS)",69,10,7,12
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC/85 BNS)",1677,219,249,262
14,Abetment of Suicide (Sec.306 IPC/108 BNS),98,13,10,18
15,Immoral Traffic (prevention) Act.,203,24,50,37
16,"Indecent Representation of Women(Prohibition) Act-
1986",1134,151,191,184
17,Pornography (Sec.292 to 294 IPC/294 TO 296 BNS),1,0,0,0
18,"Offences against Public Servants (Sec 182-
188,332,333,353IPC/217-223,121(1),121(2),132
BNS)",78,6,12,12
19,Offences related to Marriage,19,3,3,2
20,Cyber Crimes,2635,628,389,403
,Total (Item 1 to 20),11016,1669,1692,1614
