Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,194,22,8,18
,Un-Organised,104,8,9,8
,Sub Total,298,30,17,26
18,BONDED LABOUR SYSTEM,13,1,6,3
19,INDIAN MOTOR VEHICLE,63,1,4,2
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,2673,195,158,388
,Synthetic,3245,229,265,384
,Sub Total,5918,424,423,772
21,PASSPORT ACT,,,,
,Foreigner,2,0,0,0
,Indian,4,0,0,1
,Sub Total,6,0,0,1
22,"REPRESENTATIVE OF PEOPLE ACT 1951 &
1988",,,,
,Assembly,0,12,0,0
,Parliament,1,0,0,1
,Other Elected Bodies,0,0,0,0
,Sub Total,1,12,0,1
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),5829,756,480,594
,Street Gambling (87),6899,957,1176,496
,House Gambling (79 & 80),239,21,25,17
,Betting,588,8,6,4
,Others,478,21,29,54
,Sub Total,14033,1763,1716,1165
24,"PREVENTION OF DAMAGE TO PUBLIC
PROPERTY ACT 1984",115,10,9,3
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",1,0,0,1
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,2,0,0,1
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,2,0,0,1
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,4,0,0,2
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,4,0,0,2
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,1,2,1,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,1821,145,155,166
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",1,0,0,0
,Sub Total,1822,145,155,166
31,INDIAN LUNACY ACT,0,0,0,0
32,INDIAN ELECTRICITY ACT,12,1,1,1
33,"COTPA, CIGARETTES AND OTHER TOBACCO
PRODUCTS",2966,147,69,112
34,KARNATAKA STATE LOCAL ACTS,,,,
,Prevention of Insult to National Hounours Act 1971,10,1,0,1
,"Prevention of violence against Doctors, Medical
professionals and Medical institutions",12,2,1,1
,"The Karnataka Prevention of Dangerous Activities
of Bootleggers, Drug-offenders, Gamblers, Goonda
Act",1,0,1,0
,Karnataka Cow Slaughters Act,196,11,16,12
,Banning of Unregulated Deposit Schemes Act,20,1,0,3
,"Motor Spirit and High Speed Diesel (Regulation of
upply, Distribution and Prevention of Malpractice",0,0,0,0
,Karnataka Epidemic Deseases Act 2020,0,0,0,0
,"Karnataka Prevention of Slaughter and
Preservation of Cattle Act 2020",232,5,16,25
,Disaster Management Act 2005,0,0,0,0
,Karnataka Excise Act 1965,9243,874,752,769
,Karnataka Forest Act 1963,65,5,9,12
