Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 9 0,857,1147,296,"1581
1091",1877
2,State Highways,202,592,794,202,,1293
3,Other Roads,2 92,1182,1474,294,1727,2021
,TOTAL,784,2631,3415,792,4399,5191
