"Comparitive Crime Statement 17 for the Years 2024, 2025, and 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2024,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026 As on 31/05/2026,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1201,59,22,1120,0,18,66,3,950,9,32,2,40,1205,43,21,1141,0,5,12,0,1010,65,16,1,32,461,3,5,453,0,0,0,0,142,308,0,0,
Attempt to murder,2713,149,13,2551,0,21,175,11,2245,41,20,20,18,3188,133,7,3048,0,5,42,3,2512,448,8,21,9,1626,11,6,1609,0,0,0,0,296,1312,0,1,
C.H.Not Amounting to murder,134,9,0,125,0,5,4,0,94,4,1,2,15,134,6,1,127,0,2,1,0,87,21,0,3,13,43,0,1,42,0,0,0,0,10,31,0,0,
Dacoity,150,12,4,134,0,1,2,0,116,4,10,1,0,139,3,1,135,0,0,0,0,109,24,1,1,0,63,0,0,63,0,0,0,0,15,48,0,0,
Preparation And Assembly For Dacoity,120,0,0,120,0,0,2,0,118,0,0,0,0,67,0,0,67,0,0,0,0,63,4,0,0,0,10,0,0,10,0,0,0,0,6,4,0,0,
Robbery,985,37,10,938,0,8,23,5,693,8,197,4,0,616,29,6,581,0,0,5,0,384,131,59,2,0,294,2,1,291,0,0,0,0,55,234,2,0,
Chain Snatching,620,10,7,603,0,6,13,1,411,7,163,2,0,462,8,0,454,0,2,3,1,294,92,62,0,0,167,2,0,165,0,0,0,0,29,136,0,0,
H.B.T by day,1132,41,0,1091,0,8,15,1,508,17,538,2,2,1103,24,0,1079,0,3,7,1,439,238,390,1,0,387,1,0,386,0,0,0,0,45,329,12,0,
H.B.T by night,4330,41,2,4287,0,19,47,3,1697,48,2465,5,3,3920,25,1,3894,0,7,12,1,1226,871,1776,0,1,1587,5,0,1582,0,0,0,0,106,1397,79,0,
