Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Chikkamagaluru District,320,317,99.06
2,Belagavi City,201,198,98.51
3,Udupi District,304,295,97.04
4,Vijayapur District,401,389,97.01
5,Tumakuru District,797,770,96.61
6,Koppal District,252,239,94.84
7,Mysuru City,338,317,93.79
8,Dakshina Kannada District,175,159,90.86
9,Ramanagara District,470,422,89.79
10,Bagalkot District,283,254,89.75
11,Belagavi District,504,445,88.29
12,Kalaburagi City,212,187,88.21
13,Dharwad District,148,130,87.84
14,Ballari District,321,281,87.54
15,Gadag District,149,130,87.25
16,Mandya District,470,400,85.11
17,Vijayanagara District,331,279,84.29
18,K.G.F District,118,99,83.90
19,Mysuru District,542,430,79.34
20,Bengaluru District,962,762,79.21
21,Uttara Kannada District,313,243,77.64
22,Hassan District,592,458,77.36
23,Chamarajanagar District,247,187,75.71
24,Yadgir District,216,151,69.91
25,SP Railways,91,63,69.23
26,Davanagere District,525,347,66.10
27,Haveri District,325,195,60.00
28,Bengaluru City,5621,3217,57.23
29,Chitradurga District,588,335,56.97
30,KODAGU(Madikeri) District,188,106,56.38
31,Bidar District,361,193,53.46
32,Chickballapura District,398,199,50.00
33,Hubballi Dharwad City,271,115,42.44
34,Kolar District,307,129,42.02
35,Kalaburagi District,277,114,41.16
36,Mangalore COP,311,115,36.98
37,Raichur District,365,126,34.52
38,Shivamogga District,676,116,17.16
Total,,18970,12912,68.07
