Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,215,21,22,10
,Un-Organised,84,12,8,9
,Sub Total,299,33,30,19
18,BONDED LABOUR SYSTEM,4,1,1,0
19,INDIAN MOTOR VEHICLE,305,1,2,5
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,1653,212,191,211
,Synthetic,2534,301,233,440
,Sub Total,4187,513,424,651
21,PASSPORT ACT,,,,
,Foreigner,3,0,0,0
,Indian,2,0,0,1
,Sub Total,5,0,0,1
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,19,1,12,0
,Parliament,104,0,0,0
,Other Elected Bodies,10,0,0,0
,Sub Total,133,1,12,0
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),5874,538,756,1039
,Street Gambling (87),6304,427,957,484
,House Gambling (79 & 80),264,34,21,20
,Betting,432,7,8,16
,Others,516,65,21,23
,Sub Total,13390,1071,1763,1582
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",155,11,10,9
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",2,0,0,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,1,0,0,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,1,0,0,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,7,0,2,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,1913,219,129,138
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition)
Act 1986",1,0,0,0
,Sub Total,1914,219,129,138
31,INDIAN LUNACY ACT,0,0,0,0
32,INDIAN ELECTRICITY ACT,8,3,1,1
33,"COTPA, CIGARETTES AND OTHER TOBACCO
PRODUCTS",1139,125,147,208
34,KARNATAKA STATE LOCAL ACTS,,,,
,Prevention of Insult to National Hounours Act 1971,10,0,1,0
,"Prevention of violence against Doctors, Medical
professionals and Medical institutions",13,2,2,2
,"The Karnataka Prevention of Dangerous Activities
of Bootleggers, Drug-offenders, Gamblers, Goonda
Act",0,0,0,0
,Karnataka Cow Slaughters Act,236,13,10,13
