Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,2,Kalaburgi City,1
Mysore City,1,Bengaluru District,1
Bagalkot District,1,Chikmagalur District,1
Kalaburgi District,1,Kolar District,1
Shivamogga District,1,Tumakuru District,1
