S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,0,23,
76,KSPTS Khanapur,19,2,17,
77,KSRP PTS BELAGAVI,18,14,4,
78,KSRP Training Munirabad,14,10,4,
79,PDMS Yelahanka,32,0,32,
80,PTC Gulbarga,43,14,29,
81,PTS Aimangala,19,4,15,
82,PTS Dharwad,21,14,7,
83,PTS Hassan,20,0,20,
84,PTS Kaduru,16,0,16,
85,PTS Mysuru,21,7,14,
86,PTS Thanisandra,20,0,20,
87,RFSL Ballari,7,3,4,
88,RFSL Belgaum,9,0,9,
89,RFSL Davanagere,9,6,3,
90,RFSL Gulbarga,6,1,5,
91,RFSL Hubballi,5,0,5,
92,RFSL Mangalore,12,0,12,
93,RFSL Mysore,7,1,6,
94,SCRB,48,14,34,
95,Southern Range,6,2,4,
96,Special Task Force,8,0,8,
97,State Wireless,85,29,56,
98,TTI Bangalore,7,0,7,
99,Western Range,2,0,2,
,Grand Total,13652,5664,7988,
