Name of the unit,No. of cases,Name of the unit,No. of cases
Davanagere District,3,Bengaluru City,2
Tumakuru District,2,Bengaluru District,2
Hubli-Dharwad City,1,Belagavi District,1
Bellary District,1,Ramanagara District,1
