Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,"CYBER CRIME (INFORMATION TECHNOLOGY
ACT)",,,,
,"Information Technology Act 2000, 2009",12,1821,24,12
,CSAM (Child Pornography). Cyber Tip Line,,,,
,Online Money Transfer,105,6,90,105
,Credit Card Fraud,86,7,89,86
,Loan App,22,6,19,22
,"Ransomeware Attack, Installing Spyware &
Troman, Using Other Malware & Viruses to infect
degital serv",,,,
,"Gifts, iPhone & Lottery Fraud",7,1,23,7
,Deep Fake/Deep Nudes,3,0,1,3
,"Investment Fraud (Part Time Job, Task, Review)",273,16,306,273
,Card Skimming,,,,
,Job Fraud,31,12,67,31
,Business Fraud,18,0,17,18
,Hacking of Accounts & Ids,13,11,15,13
,Phishing (Taking Password & Information),6,0,6,6
,Email Spoofing / Fraud,3,0,2,3
,SIM card Swapping / SIM Jacking / SIM Cloning,0,0,2,0
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",29,5,28,29
,"Crypto Currency, Bitcoin, etc.",8,0,11,8
,Remote Access Fraud (Any Desk/ Team Viewer),0,0,1,0
,OLX Fraud,17,3,18,17
,Data Theft,8,0,7,8
,Fedex,11,1,34,11
,Matrimony Fraud,11,0,6,11
,"OTP Frauds (KYC Update, Apk Link)",73,5,99,73
,Sextortion and Revenge Porn,8,0,8,8
,Advertising Frauds,6,0,8,6
,Investment Fraud (Trading & Share Trading),380,4,274,380
,Fake Customer Care,36,0,37,36
,ATM Fraud,5,0,0,5
,Digital Arrest,64,0,133,64
,AEPS (Aadhaar),0,1,1,0
,Others,166,49,194,166
,Sub Total,1401,1948,1520,1401
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,1,0,0,1
,Gang Rape,0,0,0,0
,Rape with Murder,0,1,0,0
,Rape,216,277,226,216
,Others,87,70,93,87
,Sub Total,304,348,319,304
,Total (Item 1 to 36),4534,4734,6333,4534
