S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,175,174,1,
2,Ballari,156,156,0,
3,Belagavi City,234,225,9,
4,Belagavi Dist,293,239,54,
5,Bengaluru City,"3,248","1,518",1730,
6,Bengaluru Dist,236,48,188,
7,Bidar,185,93,92,
8,Chamarajanagar,137,118,19,
9,Chickballapura,132,132,0,
10,Chikkamagaluru,205,151,54,
11,Chitradurga,195,69,126,
12,Coastal Security Police,56,26,30,
13,Dakshina Kannada,172,152,20,
14,Davanagere,197,117,80,
15,Dharwad,111,107,4,
16,Gadag,178,114,64,
17,Hassan,195,97,98,
18,Haveri,166,127,39,
19,Hubballi Dharwad City,245,134,111,
20,K.G.F,100,61,39,
21,Kalaburagi,213,91,122,
22,Kalaburagi City,185,93,92,
23,Karnataka Railways,97,66,31,
24,Kodagu,153,119,34,
25,Kolar,180,94,86,
26,Koppal,168,141,27,
27,Mandya,221,179,42,
28,Mangaluru City,247,107,140,
29,Mysuru City,264,116,148,
30,Mysuru Dist,191,169,22,
31,Raichur,176,168,8,
32,Ramanagara,177,86,91,
33,Shivamogga,218,194,24,
34,Tumakuru,285,111,174,
35,Udupi,152,139,13,
,,,,,
