Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
11,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2)
BNS)",,,,
,At Residential Premises,478,92,79,78
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,15,3,4,2
,In Other Places,18,9,4,5
,Temple Theft,5,2,0,2
,Sub Total,516,106,87,87
,Total Burglary (Burglary Day + Burglary Night),2402,521,421,402
12,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,28,6,7,5
,Of Automobiles - Of Tractors,48,7,8,6
,In Running Bus,55,0,7,4
,Of Snatching,299,0,42,53
,At ATM,15,0,5,0
,Of Sand,719,96,106,82
,Government Office,14,0,3,2
,Of Mines,43,1,4,7
,Communication And Elec. Wire,125,23,15,19
,Of Cattle,262,60,37,36
,Of Cycle,20,10,2,0
,Of Automobiles - Of Lorries/Trucks,59,6,13,5
,Of Automobiles - Of Buses,1,2,0,0
,Of Automobiles - Of Cars / Jeeps,124,17,32,19
,Of Automobiles - Of Two Wheelers,4545,1026,706,785
,Of Automobies - of Three Wheelers,122,27,20,21
,Of Accessories of Motor Vehicle,133,31,22,22
,Govt. Vehicle,1,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",499,100,92,71
,Of Fire Arms,4,0,1,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,6,0,3,1
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,109,17,13,20
,Cash,256,38,46,39
,Jewellery,828,130,163,111
,Other Items Not Included Above,837,169,141,118
,In Running Train,28,0,5,2
,Extortion,135,22,20,24
,House Theft,926,188,165,181
,Servant Theft,243,44,47,51
,Sub Total,10484,2020,1725,1684
13,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,534,127,85,120
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,0,1,0,0
,Labour - Public Sector,1,0,0,1
,Linguistic,1,0,0,1
,Political,3,1,0,0
,Regional,2,0,0,0
,Sectarian,0,0,0,0
,Students,2,1,1,0
,Tribal,0,0,0,0
,Due to Village Disputes,9,2,3,0
,Communal,3,0,0,1
,Industrial,2,0,0,0
,Caste,2,0,0,0
,Agrarian,0,0,0,0
,Others,1217,230,208,229
,Sub Total,1776,362,297,352
