S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,181,181,0,
2,Ballari,159,158,1,
3,Belagavi City,228,228,0,
4,Belagavi Dist,289,237,52,
5,Bengaluru City,"3,195","2,329",866,
6,Bengaluru Dist,220,47,173,
7,Bidar,179,177,2,
8,Chamarajanagar,136,136,0,
9,Chickballapura,134,131,3,
10,Chikkamagaluru,197,195,2,
11,Chitradurga,200,196,4,
12,Coastal Security Police,55,52,3,
13,Dakshina Kannada,172,171,1,
14,Davanagere,224,224,0,
15,Dharwad,119,118,1,
16,Gadag,176,176,0,
17,Hassan,211,205,6,
18,Haveri,156,156,0,
19,Hubballi Dharwad City,283,177,106,
20,K.G.F,104,89,15,
21,Kalaburagi,219,209,10,
22,Kalaburagi City,178,178,0,
23,Karnataka Railways,94,93,1,
24,Kodagu,142,141,1,
25,Kolar,197,190,7,
26,Koppal,166,166,0,
27,Mandya,227,221,6,
28,Mangaluru City,242,234,8,
29,Mysuru City,274,192,82,
30,Mysuru Dist,205,205,0,
31,Raichur,185,185,0,
32,Ramanagara,201,149,52,
33,Shivamogga,237,236,1,
34,Tumakuru,330,275,55,
35,Udupi,220,220,0,
,,,,,
