Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,91,65,98,91
,On Highways,0,0,0,0
,In Trains,1,0,0,1
,At Banks,0,0,0,0
,At Commercial Places / Establishments,3,1,7,3
,In Other Places,8,5,5,8
,Temple Theft,3,3,0,3
,Sub Total,106,74,110,106
,Total Burglary (Burglary Day + Burglary Night),514,446,553,514
11,THEFT (Sec.379 to 389 IPC),,,,
,Of Sand,88,65,95,88
,Attempt to commit,4,3,5,4
,Of Automobiles - Of Tractors,7,10,15,7
,At ATM,1,0,3,1
,Communication And Elec. Wire,16,26,21,16
,Of Cattle,35,32,39,35
,Of Cycle,7,13,14,7
,Of Automobiles - Of Lorries/Trucks,7,13,12,7
,Of Automobiles - Of Buses,1,1,1,1
,Of Automobiles - Of Cars / Jeeps,18,25,24,18
,Of Automobiles - Of Two Wheelers,965,816,1054,965
,Of Automobies - of Three Wheelers,20,36,25,20
,Of Accessories of Motor Vehicle,26,20,32,26
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",123,115,158,123
,Of Fire Arms,1,0,2,1
,Of Explosives,0,0,0,0
,Of Cultural - Idols,1,0,1,1
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,32,23,28,32
,Cash,49,39,81,49
,Jewellery,118,97,154,118
,Other Items Not Included Above,200,132,202,200
,In Running Train,5,1,6,5
,Extortion,24,16,26,24
,House Theft,163,136,177,163
,Servant Theft,32,22,59,32
,Sub Total,1943,1641,2234,1943
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,91,83,96,91
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,0,0,0,0
,Labour - Public Sector,0,0,0,0
,Linguistic,1,1,11,1
,Political,0,0,0,0
,Regional,0,0,2,0
,Sectarian,0,0,0,0
,Students,3,0,1,3
,Tribal,0,0,0,0
,Due to Village Disputes,1,2,3,1
,Communal,0,0,0,0
,Industrial,0,1,0,0
,Caste,0,0,0,0
,Agrarian,0,1,0,0
,Others,203,193,188,203
,Sub Total,299,281,301,299
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",15,4,6,15
15,CRIMINAL BREACH OF TRUST,46,36,46,46
