Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,2,1,1,1
,Office,3,0,0,1
,Public Conveyance,2,0,1,0
,Public Place,38,5,9,7
,Other Places,53,10,16,4
,Sub Total,98,16,27,13
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,2,2,0,1
,Abetment of Suicide,208,32,28,31
,Other Reasons,185,26,21,18
,Attempt to Commit suicide,68,19,7,2
,Sub Total,463,79,56,52
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,0,0,0,0
,Attempt,0,0,0,0
,Major - Man,3,0,0,0
,Major - Woman,1,0,0,0
,Minor - Boy,0,1,0,0
,Minor - Girl,0,0,0,0
,Sub Total,4,1,0,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,20,3,1,6
,To Extort Confession,4,1,0,0
,To Extort Property,15,2,1,2
,To settle Dispute,9,2,2,1
,Others,241,47,35,40
,Sub Total,289,55,39,49
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,1,0,0,1
,Sub Total,1,0,0,1
55,"OFFENCES RELATED TO MARRIAGE (Sec.493
to 498 IPC)",25,4,3,1
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,1,0
,Property,1,0,1,0
,Sub Total,2,0,2,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,5,0,0,1
,Printed Matter,2,0,0,0
,Others,2,0,0,0
,Sub Total,9,0,0,1
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,6,0,1,0
,Parliament,153,0,0,1
,Other Elected Bodies,13,0,0,0
,Sub Total,172,0,1,1
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
