"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/10/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1345,68,28,1250,0,22,98,0,994,30,55,2,49,1375,77,33,1265,0,2,29,0,1109,51,32,2,40,1084,18,24,1042,0,1,1,0,635,383,1,0,
Attempt to murder,2444,151,9,2284,0,18,171,11,1987,30,37,10,20,2840,159,8,2673,0,8,68,10,2281,266,17,14,9,2447,58,8,2381,0,1,2,0,905,1463,2,5,
C.H.Not Amounting to murder,88,8,0,80,0,0,9,0,66,3,0,0,2,94,10,2,82,0,1,2,0,62,14,0,1,2,62,3,0,59,0,0,1,0,13,44,0,0,
Dacoity,179,21,3,155,0,0,6,0,129,7,13,0,0,217,17,4,196,0,0,1,0,157,27,11,0,0,148,2,3,143,0,0,0,0,47,96,0,0,
Preparation And Assembly For Dacoity,389,0,0,389,0,1,5,0,381,1,1,0,0,294,0,0,294,0,0,3,0,285,6,0,0,0,113,0,0,113,0,0,0,0,71,42,0,0,
Robbery,978,34,22,922,0,3,24,1,705,14,173,0,2,1069,47,11,1011,0,2,18,5,750,82,150,4,0,1044,18,18,1008,0,0,0,0,336,660,12,0,
Chain Snatching,664,13,5,646,0,3,13,0,454,5,171,0,0,669,3,8,658,0,1,3,1,441,81,130,1,0,514,3,3,508,0,0,0,0,150,352,6,0,
H.B.T by day,805,27,2,776,0,9,18,1,380,8,357,1,2,990,32,0,958,0,6,5,0,423,71,451,2,0,983,17,0,966,0,0,0,0,178,696,92,0,
H.B.T by night,4015,40,3,3972,0,41,63,6,1541,40,2275,2,4,4437,44,3,4390,0,23,17,2,1541,415,2387,2,3,4002,14,1,3987,0,0,3,0,512,2903,566,3,
House theft,915,52,2,861,0,5,13,6,370,5,458,3,1,1295,64,1,1230,0,4,11,4,408,41,761,1,0,1809,55,0,1754,0,0,0,0,274,996,482,2,
Ordinary Theft,15907,382,198,15327,0,460,279,1813,3995,61,8574,123,22,19455,521,301,18633,0,321,129,1581,5195,635,10629,132,11,18706,444,202,18060,0,104,14,264,2554,10659,4440,23,
Cattle thefts,412,6,3,403,0,8,7,25,173,2,186,2,0,478,8,1,469,0,3,8,24,178,31,220,2,3,355,6,2,347,0,1,0,2,50,239,55,0,
Receiving stolen Property,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,
Cheating,5423,1669,156,3598,0,13,18,83,2070,795,516,89,14,6404,1708,151,4545,1,9,16,51,1757,2100,552,47,13,5726,550,75,5101,0,1,1,10,394,4565,111,19,
Cr.Br.Trust,478,139,7,332,0,0,1,5,186,114,15,11,0,462,104,8,350,0,0,1,2,130,199,10,7,1,407,37,2,368,0,0,0,0,19,349,0,0,
C.C.Notes,33,0,0,33,0,0,1,0,15,2,14,1,0,29,0,0,29,0,0,0,0,12,4,13,0,0,20,0,0,20,0,0,0,0,3,16,1,0,
Sub Total - PART-I,34076,2610,438,31029,0,583,726,1951,13447,1117,12845,244,116,40110,2794,531,36785,1,381,311,1680,14729,4023,15363,216,82,37421,1225,338,35858,0,108,22,276,6141,23464,5768,52,
PART-II (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC",9870,98,18,9754,2,412,737,15,6548,12,858,14,1158,11318,81,19,11218,2,292,250,14,8362,248,960,10,1082,9710,40,23,9647,0,46,16,0,4620,4277,260,8,
