Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
5,CONSUMER,,,,
,"Liquified Petroleum Gas Supply & Control Order
2000",38,6,10,11
,Consumer (Protection) Act 1986,1,1,0,1
,Essential Commodities Act 1955,172,46,62,54
,Prevention of Food Adulternation Act 1954,2,0,1,1
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,213,53,73,67
6,COPY RIGHT ACT 1957,,,,
,By Company,57,6,12,8
,By Individual,28,5,5,6
,Sub Total,85,11,17,14
7,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,3,0,0,3
,Sub Total,3,0,0,3
8,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,439,114,124,103
,Scheduled Tribes,98,25,27,30
,Scheduled Caste Women,169,42,44,44
,Scheduled Tribes Women,40,10,7,9
,Sub Total,746,191,202,186
9,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,20,7,2,2
,Child Marriage (Restraint) Act - 1929,53,17,14,18
,Juvenile Justice Act 1986,65,25,31,8
,Probation of offenders Act 1958,0,0,0,0
,"Protection of Children from Sexual Offences Act
2012 (POCSO)",0,0,0,0
,Sub Total,138,49,47,28
10,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,0,0,0,0
,Public Servant - Gazetted - Central,0,0,0,0
,Public Servant - Gazetted - Defence,0,0,0,0
,"Public Servant - Gazetted - Public Sector
Undertaking",0,0,0,0
,Public Servant - Gazetted - State,0,0,0,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,0,0,0,0
11,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
12,Explosives,,,,
,Explosives Substances Act 1908,18,1,3,4
,Explosives Act 1884,17,4,8,2
,Inflammable Substance Act 1952,0,0,0,0
,Sub Total,35,5,11,6
13,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
14,FOREIGNER,,,,
,Foreigners Act 1946,18,0,10,2
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,18,0,10,2
15,FOREST,,,,
,Indian Forest Act 1927,0,0,0,0
,Forest (Conservation) Act 1980,3,0,1,0
,Sub Total,3,0,1,0
