Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,5,0,2,0
,Office,10,1,1,0
,Public Conveyance,2,0,0,0
,Public Place,36,3,5,7
,Other Places,49,3,10,9
,Sub Total,102,7,18,16
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,7,3,1,1
,Abetment of Suicide,220,35,32,22
,Other Reasons,256,25,28,33
,Attempt to Commit suicide,112,11,19,13
,Sub Total,595,74,80,69
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,4,0,0,2
,Attempt,0,0,0,0
,Major - Man,3,0,0,0
,Major - Woman,4,0,0,1
,Minor - Boy,1,0,1,0
,Minor - Girl,0,0,0,0
,Sub Total,12,0,1,3
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,17,2,2,3
,To Extort Confession,3,1,1,0
,To Extort Property,14,0,2,1
,To settle Dispute,15,3,1,0
,Others,307,20,48,32
,Sub Total,356,26,54,36
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",37,3,4,4
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,0
,Property,0,0,0,0
,Sub Total,1,0,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,3,1,0,0
,Printed Matter,1,0,0,0
,Others,1,0,0,0
,Sub Total,5,1,0,0
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,1015,0,0,1
,Parliament,3,0,0,0
,Other Elected Bodies,30,0,0,0
,Sub Total,1048,0,0,1
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
