Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
5,CONSUMER,,,,
,"Liquified Petroleum Gas Supply & Control Order
2000",80,5,4,6
,Consumer (Protection) Act 1986,7,0,0,1
,Essential Commodities Act 1955,696,33,81,68
,Prevention of Food Adulternation Act 1954,2,0,0,0
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,785,38,85,75
6,COPY RIGHT ACT 1957,,,,
,By Company,129,14,12,11
,By Individual,68,11,2,9
,Sub Total,197,25,14,20
7,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,6,1,1,1
,Sub Total,6,1,1,1
8,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,1212,95,113,111
,Scheduled Tribes,295,15,35,32
,Scheduled Caste Women,517,38,62,52
,Scheduled Tribes Women,135,1,13,21
,Sub Total,2159,149,223,216
9,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,77,11,4,8
,Child Marriage (Restraint) Act - 1929,181,11,17,10
,Juvenile Justice Act 1986,131,8,8,12
,Probation of offenders Act 1958,0,0,0,0
,"Protection of Children from Sexual Offences Act
2012 (POCSO)",0,0,0,0
,Sub Total,389,30,29,30
10,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,0,0,0,0
,Public Servant - Gazetted - Central,1,0,0,0
,Public Servant - Gazetted - Defence,0,0,0,0
,"Public Servant - Gazetted - Public Sector
Undertaking",0,0,0,0
,Public Servant - Gazetted - State,1,0,0,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,2,0,0,0
11,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
12,Explosives,,,,
,Explosives Substances Act 1908,40,3,3,3
,Explosives Act 1884,89,13,48,3
,Inflammable Substance Act 1952,0,0,0,0
,Sub Total,129,16,51,6
13,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
14,FOREIGNER,,,,
,Foreigners Act 1946,104,3,13,15
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,104,3,13,15
15,FOREST,,,,
,Indian Forest Act 1927,1,0,0,0
,Forest (Conservation) Act 1980,9,1,0,0
,Sub Total,10,1,0,0
