S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,181,180,1,
2,Ballari,159,158,1,
3,Belagavi City,228,228,0,
4,Belagavi Dist,277,254,23,
5,Bengaluru City,"3,131","2,088",1043,
6,Bengaluru Dist,216,143,73,
7,Bidar,177,177,0,
8,Chamarajanagar,136,136,0,
9,Chickballapura,134,131,3,
10,Chikkamagaluru,193,191,2,
11,Chitradurga,191,189,2,
12,Coastal Security Police,55,47,8,
13,Dakshina Kannada,172,172,0,
14,Davanagere,212,211,1,
15,Dharwad,119,117,2,
16,Gadag,176,175,1,
17,Hassan,204,203,1,
18,Haveri,145,145,0,
19,Hubballi Dharwad City,283,177,106,
20,K.G.F,104,90,14,
21,Kalaburagi,219,186,33,
22,Kalaburagi City,177,170,7,
23,Karnataka Railways,94,93,1,
24,Kodagu,149,128,21,
25,Kolar,197,188,9,
26,Koppal,166,166,0,
27,Mandya,226,222,4,
28,Mangaluru City,242,241,1,
29,Mysuru City,286,203,83,
30,Mysuru Dist,205,203,2,
31,Raichur,185,185,0,
32,Ramanagara,201,162,39,
33,Shivamogga,227,226,1,
34,Tumakuru,326,262,64,
35,Udupi,220,216,4,
,,,,,
