"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(December-2025)","During the current
Year Upto the month
under review","During the month
under review
(December -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3198,37181,1825,19291
2,Mysuru City,200,2224,121,1040
3,Hubballi Dharwad City,121,1488,92,1160
4,Mangaluru City,196,2278,120,1205
5,Belagavi City,146,1655,32,652
6,Kalaburagi City,136,1730,97,1010
,Central Range,,,,
1,Bengaluru Dist,580,6433,76,1187
2,Bengaluru South,318,3644,61,936
3,Tumakuru,556,5961,212,2509
4,Kolar,217,2245,43,505
5,Chickballapura,202,2542,77,1619
6,K.G.F,52,782,30,360
,Eastern Range,,,,
1,Chitradurga,355,4098,158,1740
2,Davanagere,340,3385,76,1386
3,Shivamogga,394,4840,275,2155
4,Haveri,219,2406,59,1155
,Western Range,,,,
1,Dakshina Kannada,173,1816,37,417
2,Udupi,165,2249,55,752
3,Chikkamagaluru,279,2722,59,1488
4,Uttara Kannada,203,2334,155,1596
,Northern Range,,,,
1,Belagavi Dist,462,4535,177,2059
2,Bagalkot,193,2208,142,1362
3,Vijayapur,284,3062,132,1992
4,Dharwad,98,1016,34,625
5,Gadag,95,1043,43,1225
,North Eastern Range,,,,
1,Kalaburagi,233,2683,132,1025
2,Bidar,261,3054,66,1172
3,Yadgir,165,1622,216,1093
,Southern Range,,,,
1,Mysuru Dist,406,4952,73,912
2,Mandya,435,4780,116,1150
3,Chamarajanagar,170,2068,48,844
4,Hassan,409,4781,102,1366
5,Kodagu,138,1724,49,600
,Ballari Range,,,,
1,Ballari,152,1924,200,1961
2,Koppal,167,1945,105,1255
3,Raichur,236,2813,169,1458
4,Vijayanagara,134,1781,171,1467
,Karnataka Railways,56,662,7,138
,STATE,12144,138666,5642,63867
