Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Tumakuru District,773,772,99.87
2,Udupi District,365,363,99.45
3,Chikkamagaluru District,327,325,99.39
4,Bagalkot District,306,302,98.69
5,Chitradurga District,605,594,98.18
6,Mysuru City,374,365,97.59
7,Dharwad District,184,179,97.28
8,Gadag District,202,195,96.53
9,Uttara Kannada District,387,368,95.09
10,Vijayapur District,416,393,94.47
11,Belagavi District,574,538,93.73
12,Dakshina Kannada District,239,216,90.38
13,Ballari District,284,254,89.44
14,Chamarajanagar District,228,198,86.84
15,Mandya District,530,448,84.53
16,Haveri District,355,300,84.51
17,KODAGU(Madikeri) District,171,143,83.63
18,SP Railways,78,65,83.33
19,Vijayanagara District,227,186,81.94
20,Bengaluru District,938,732,78.04
21,Hassan District,542,421,77.68
22,K.G.F District,132,102,77.27
23,Koppal District,234,174,74.36
24,Yadgir District,238,166,69.75
25,Mysuru District,609,421,69.13
26,Belagavi City,236,156,66.10
27,Mangalore COP,390,254,65.13
28,Bengaluru City,5812,3751,64.54
29,Kalaburagi City,231,144,62.34
30,Kolar District,336,195,58.04
31,Ramanagara District,539,289,53.62
32,Hubballi Dharwad City,284,146,51.41
33,Davanagere District,454,211,46.48
34,Kalaburagi District,315,99,31.43
35,Raichur District,392,117,29.85
36,Shivamogga District,633,182,28.75
37,Chickballapura District,434,100,23.04
38,Bidar District,375,61,16.27
Total,,19749,13925,70.51
