Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,6,Ramanagara District,2
Hubli-Dharwad City,1,Bagalkot District,1
Davanagere District,1,Shivamogga District,1
Tumakuru District,1,Vijayapura District,1
Railways,1,,
