DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF DECEMBER - 2025 (AS ON 01/01/2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,1,0,0,5,13,3,1,3,1,2,2,0,0,0,2,1,1,3,1,0,1,0,1,0,2,2,3,1,2,5,2,5,7,1,1,2,6,1,81
2,DACOITY,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,14
3,ROBBERY,0,0,0,2,31,0,1,0,0,2,1,0,0,1,0,0,1,1,3,0,2,1,1,0,2,0,0,3,0,0,0,6,0,0,1,0,1,0,60
3a,CHAIN SNATCHING,1,0,0,1,6,7,0,0,0,0,1,1,0,4,0,0,1,1,0,0,0,0,4,0,2,0,4,0,0,0,0,1,3,1,1,0,3,0,42
4a,BURGLARY - DAY,5,0,3,3,13,4,2,4,1,2,3,0,1,5,1,3,7,1,2,6,9,1,0,3,2,1,3,1,1,1,3,2,1,2,0,3,4,2,105
4b,BURGLARY - NIGHT,14,7,7,18,51,18,13,8,7,6,5,7,4,9,4,8,12,16,4,0,7,3,0,1,9,1,15,3,2,15,3,11,19,3,5,6,15,9,345
5,THEFT,20,30,20,44,727,94,32,26,9,15,21,34,20,42,8,13,28,29,13,8,48,16,43,14,19,24,29,23,25,16,49,38,41,15,13,24,28,28,1726
5a,SNATCHING,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,47
6,RIOTS,9,4,2,26,6,4,3,5,3,9,0,17,3,31,5,10,11,17,4,1,17,3,0,0,13,2,1,2,0,7,12,11,10,0,7,6,14,8,283
7,CASES OF HURT,10,18,27,39,310,71,41,28,33,33,58,54,19,36,8,8,82,25,8,14,21,18,2,20,35,5,68,12,29,64,24,58,78,12,32,9,41,24,1474
