Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,4,Davanagere District,2
Haveri District,2,Kalaburgi City,1
Hassan District,1,K.G.F District,1
Kodagu District,1,Shivamogga District,1
U.K. District,1,,
