Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",5847,1617,2004,1939
,Sub Total,5847,1617,2004,1939
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,2,2,0,1
,Rape with Murder,0,0,0,0
,Rape,679,225,224,197
,Others,236,73,85,80
,Sub Total,917,300,309,278
,Total (Item 1 to 36),15453,7434,4776,5968
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,0,0
,1.2 Gang Rape,5,1,1,2
,1.3 other Cases of Rape,140,46,42,50
,Sub Total,146,47,43,52
2,Outraging modesty (Molestation) (sec.354 IPC),1712,536,546,640
3,Kidnapping & Abduction of Women: (Sec.366 IPC),29,8,9,11
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",24,13,9,9
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",0,1,0,0
7,Murder for other reasons,103,38,34,39
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",1,0,0,1
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",11,5,3,1
10,Attempt to Commit murder for other reasons,192,72,59,78
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,1,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),27,16,14,7
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",842,214,291,319
14,Abetment of Suicide (Sec.306 IPC),42,14,12,19
15,Immoral Traffic (prevention) Act.,100,13,28,40
16,"Indecent Representation of Women(Prohibition)
Act-1986",0,0,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-
333-353 IPC)",30,15,9,13
19,Offences related to Marriage,9,0,3,2
20,Cyber Crimes,1758,617,571,574
,Total (Item 1 to 20),5026,1610,1631,1805
