Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",1903,1327,2034,1903
,Sub Total,1903,1327,2034,1903
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,1,1,0,1
,Rape with Murder,0,0,0,0
,Rape,224,182,307,224
,Others,70,75,93,70
,Sub Total,295,258,400,295
,Total (Item 1 to 36),4670,3817,5311,4670
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,0,1
,1.2 Gang Rape,2,0,0,2
,1.3 other Cases of Rape,47,29,57,47
,Sub Total,50,29,57,50
2,Outraging modesty (Molestation) (sec.354 IPC),523,465,552,523
3,Kidnapping & Abduction of Women: (Sec.366 IPC),10,7,7,10
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",6,7,12,6
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",1,0,3,1
7,Murder for other reasons,30,26,31,30
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",7,2,2,7
10,Attempt to Commit murder for other reasons,56,56,69,56
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),6,7,6,6
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",237,194,251,237
14,Abetment of Suicide (Sec.306 IPC),11,10,12,11
15,Immoral Traffic (prevention) Act.,33,18,33,33
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",9,6,12,9
19,Offences related to Marriage,4,6,4,4
20,Cyber Crimes,613,441,670,613
,Total (Item 1 to 20),1596,1274,1721,1596
