S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,153,101,52,
2,Ballari,172,90,82,
3,Belagavi City,239,183,56,
4,Belagavi Dist,273,185,88,
5,Bengaluru City,"3,179","2,213",966,
6,Bengaluru Dist,224,59,165,
7,Bengaluru South,162,63,99,
8,Bidar,183,93,90,
9,Chamarajanagar,111,79,32,
10,Chickballapura,125,112,13,
11,Chikkamagaluru,186,114,72,
12,Chitradurga,186,60,126,
13,Coastal Security Police,55,10,45,
14,Dakshina Kannada,141,138,3,
15,Davanagere,179,83,96,
16,Dharwad,103,100,3,
17,Gadag,109,69,40,
18,Hassan,192,70,122,
19,Haveri,162,85,77,
20,Hubballi Dharwad City,188,130,58,
21,K.G.F,67,37,30,
22,Kalaburagi,197,83,114,
23,Kalaburagi City,176,72,104,
24,Karnataka Railways,94,63,31,
25,Kodagu,143,71,72,
26,Kolar,161,80,81,
27,Koppal,150,129,21,
28,Mandya,193,88,105,
29,Mangaluru City,217,100,117,
30,Mysuru City,205,75,130,
31,Mysuru Dist,156,78,78,
32,Raichur,195,143,52,
33,Shivamogga,203,145,58,
34,Tumakuru,252,72,180,
35,Udupi,130,99,31,
,,,,,
