Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 5 6,778,1034,258,"1523
1143",1781
2,State Highways,189,531,720,189,,1332
3,Other Roads,2 69,1091,1360,269,1773,2042
,TOTAL,714,2400,3114,716,4439,5155
