Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,,,,,
1,Murder,76,15,6,7
2,Rape,222,31,25,20
3,Kidnapping,35,5,3,3
4,Offences under the Protection of Civil Rights Act.,6,1,0,0
5,"Offences under the SC & ST (prevention of
Atrocities)Act 1989 (if the victim is SC)",1442,108,170,173
,Total (Item 1 to 5),1781,160,204,203
