S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,242,99,143,
37,Vijayanagara,151,144,7,
38,Vijayapur,238,223,15,
39,Yadgir,148,19,129,
40,Forest Cell,44,5,39,
41,CID,273,14,259,
42,ISD Bengaluru,91,11,80,
43,State INT,899,81,818,
44,APTS Yelahanka,19,4,15,
45,Battalion I - Bangalore,65,0,65,
46,Battalion II - Belgaum,41,34,7,
47,Battalion III - Bangalore,68,47,21,
48,Battalion IV - Bangalore,60,1,59,
49,Battalion IX - Bangalore,44,34,10,
50,Battalion V - Mysore,47,38,9,
51,Battalion VI - Gulbarga,42,25,17,
52,Battalion VII - Mangalore,39,34,5,
53,Battalion VIII - Shimoga,46,21,25,
54,Battalion X - Haveri,48,18,30,
55,Battalion XI - Hassan,52,41,11,
56,Battalion XII Tumakuru,48,31,17,
57,Central Range,6,0,6,
58,Centre for Counter Terrorism,60,3,57,
59,Chief Office,141,0,141,
60,COMMANDANT MOUNTED,KARP 25,7,18,
61,Eastern Range,4,1,3,
62,FPB Unit,24,1,23,
63,FSL Madiwala,20,0,20,
64,I.R.B. Vijayapura,47,11,36,
65,IGP Railways,3,0,3,
66,IGP TRAINING,12,0,12,
67,IIIrd BN KSISF,39,0,39,
68,IInd BN KSISF,38,3,35,
69,IRB Munirabad,52,43,9,
70,ISD,208,32,176,
71,Ist BN KSISF,55,6,49,
72,Kalaburgi Range,8,2,6,
73,KPA Mysore,35,4,31,
74,KSPTS Channapatna,23,12,11,
,,,,,
