Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Dharwad,154,148,96.10
2,Hubballi Dharwad City,243,228,93.83
3,Vijayapur,343,320,93.29
4,Bagalkot,286,263,91.96
5,Chamarajanagar,225,206,91.56
6,Belagavi Dist,614,541,88.11
7,Dakshina Kannada,175,150,85.71
8,Udupi,250,211,84.40
9,Uttara Kannada,259,194,74.90
10,Ballari,208,151,72.60
11,Koppal,224,156,69.64
12,Gadag,155,96,61.94
13,Haveri,292,157,53.77
14,Chickballapura,293,147,50.17
15,Davanagere,397,158,39.80
16,Mangaluru City,188,53,28.19
17,Kalaburagi,240,60,25.00
18,Kalaburagi City,202,46,22.77
19,Kodagu,130,22,16.92
20,Karnataka Railways,86,13,15.12
21,Hassan,526,79,15.02
22,Mysuru City,265,37,13.96
23,Tumakuru,600,83,13.83
24,Bengaluru City,4573,621,13.58
25,Chikkamagaluru,369,47,12.74
26,Mandya,491,59,12.02
27,Raichur,319,37,11.60
28,Shivamogga,448,50,11.16
29,Belagavi City,185,19,10.27
30,Mysuru Dist,487,48,9.86
31,Bidar,366,35,9.56
32,Bengaluru Dist,741,38,5.13
33,Vijayanagara,220,6,2.73
34,K.G.F,114,2,1.75
35,Yadgir,182,1,0.55
36,Chitradurga,442,0,0.00
37,Kolar,245,0,0.00
38,Ramanagara,418,0,0.00
TOTAL,,15955,4482,28.09
