S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,221,221,0,
37,Vijayanagara,137,136,1,
38,Vijayapur,219,217,2,
39,Yadgir,144,89,55,
40,Forest Cell,47,28,19,
41,CID,211,138,73,
42,ISD Bengaluru,75,66,9,
43,State INT,721,529,192,
44,APTS Yelahanka,16,1,15,
45,Battalion I - Bangalore,64,40,24,
46,Battalion II - Belgaum,33,29,4,
47,Battalion III - Bangalore,48,47,1,
48,Battalion IV - Bangalore,42,25,17,
49,Battalion IX - Bangalore,29,28,1,
50,Battalion V - Mysore,36,33,3,
51,Battalion VI - Gulbarga,39,37,2,
52,Battalion VII - Mangalore,33,32,1,
53,Battalion VIII - Shimoga,39,34,5,
54,Battalion X - Haveri,40,26,14,
55,Battalion XI - Hassan,45,45,0,
56,Battalion XII Tumakuru,39,39,0,
57,Central Range,6,2,4,
58,Centre for Counter Terrorism,44,21,23,
59,Chief Office,126,46,80,
60,COMMANDANT MOUNTED,KARP 20,20,0,
61,Eastern Range,3,3,0,
62,FPB Unit,19,0,19,
63,FSL Madiwala,20,11,9,
64,I.R.B. Vijayapura,40,20,20,
65,IGP TRAINING,8,7,1,
66,IIIrd BN KSISF,27,26,1,
67,IInd BN KSISF,25,23,2,
68,IRB Munirabad,50,46,4,
69,ISD,142,127,15,
70,Ist BN KSISF,43,43,0,
71,Kalaburgi Range,4,3,1,
72,KPA Mysore,29,29,0,
73,KSPTS Channapatna,20,20,0,
74,KSPTS Khanapur,21,21,0,
,,,,,
