S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,18,0,
76,KSRP Training Munirabad,14,13,1,
77,PDMS Yelahanka,32,11,21,
78,PTC Gulbarga,45,4,41,
79,PTS Aimangala,18,4,14,
80,PTS Dharwad,19,19,0,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,20,1,
84,PTS Thanisandra,22,0,22,
85,RFSL Ballari,7,4,3,
86,RFSL Belgaum,10,3,7,
87,RFSL Davanagere,9,7,2,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,12,5,7,
91,RFSL Mysore,8,2,6,
92,SCRB,42,24,18,
93,Southern Range,7,4,3,
94,Special Task Force,8,0,8,
95,State Wireless,83,33,50,
96,TTI Bangalore,6,0,6,
97,Western Range,3,1,2,
,Grand Total,13399,7964,5435,
