"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - February - 2026,,,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details of
received, disposed and overdue status of services for February 2026 as on 28.02.2026 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 25.02.2026",,
1,BELAGAVI CITY,4377,2702,34,,
2,BENGALURU CITY,42104,34044,220,,
3,HUBLI-DHARWAD CITY,1029,936,67,,
4,KALABURAGI CITY,1672,1148,33,,
5,MANGALURU CITY,1713,1540,226,,
6,MYSURU CITY,3534,3200,12,,
7,BAGALKOT DISTRICT,1400,1295,77,,
8,BALLARI DISTRICT,1802,1868,15,,
9,BELAGAVI DISTRICT,1786,1721,181,,
10,BENGALURU RURAL DISTRICT,2618,2731,56,,
11,BIDAR DISTRICT,1309,1320,72,,
12,CHAMARAJANAGAR DISTRICT,1424,1295,10,,
13,CHIKKABALLAPURA DISTRICT,1821,1577,23,,
14,CHIKKAMAGALURU DISTRICT,2146,1944,3,,
15,CHITRADURGA DISTRICT,1845,1629,37,EEExxxppitoo,rrtt ttoo PExDcFel
16,DAKSHINA KANNADA DISTRICT,1282,1213,81,,
17,DAVANAGERE DISTRICT,1902,1752,5,,
18,DHARWAD DISTRICT,1133,1082,62,,
19,GADAG DISTRICT,704,683,2,,
20,HASSAN DISTRICT,3175,2916,7,,
21,HAVERI DISTRICT,1146,997,47,,
22,KALABURAGI DISTRICT,371,371,0,,
23,KODAGU DISTRICT,1257,1130,5,,
24,KOLAR DISTRICT,874,794,3,,
25,KGF,856,657,0,,
26,KOPPAL DISTRICT,898,827,0,,
27,MANDYA DISTRICT,3092,2604,3,,
28,MYSURU DISTRICT,2253,1964,2,,
29,RAICHUR DISTRICT,1375,1084,47,,
30,BENGALURU SOUTH DISTRICT,2340,2078,7,,
31,SHIVAMOGGA DISTRICT,2896,2380,159,,
32,TUMAKURU DISTRICT,3188,2949,27,,
33,UDUPI DISTRICT,2071,1859,67,,
34,UTTARA KANNADA DISTRICT,2997,2285,6,EEExxxppitoo,rrtt ttoo PExDcFel
35,VIJAYANAGARA DISTRICT,1163,1149,7,,
36,VIJAYAPURA DISTRICT,2371,2244,40,,
37,YADGIR DISTRICT,1106,607,29,,
,Total,109030,92575,1672,,
