Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 8 2,977,1359,414,1877,2291
2,State Highways,267,690,957,273,1392,1665
3,Other Roads,3 52,1218,1570,356,1877,2233
,TOTAL,1 001,2885,3886,1043,5146,6189
