Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 3 0,905,1235,331,1588,1919
2,State Highways,220,558,778,221,989,1210
3,Other Roads,3 08,1151,1459,310,1684,1994
,TOTAL,858,2614,3472,862,4261,5123
