S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,174,77,97,
2,Ballari,181,48,133,
3,Belagavi City,238,112,126,
4,Belagavi Dist,280,42,238,
5,Bengaluru City,"3,160","1,027",2133,
6,Bengaluru Dist,229,49,180,
7,Bengaluru South,174,31,143,
8,Bidar,175,80,95,
9,Chamarajanagar,111,42,69,
10,Chickballapura,133,56,77,
11,Chikkamagaluru,193,66,127,
12,Chitradurga,181,29,152,
13,Coastal Security Police,55,4,51,
14,Dakshina Kannada,161,86,75,
15,Davanagere,182,60,122,
16,Dharwad,101,86,15,
17,Gadag,111,28,83,
18,Hassan,184,23,161,
19,Haveri,173,70,103,
20,Hubballi Dharwad City,194,95,99,
21,K.G.F,70,23,47,
22,Kalaburagi,209,41,168,
23,Kalaburagi City,192,59,133,
24,Karnataka Railways,92,20,72,
25,Kodagu,139,48,91,
26,Kolar,163,43,120,
27,Koppal,145,130,15,
28,Mandya,189,55,134,
29,Mangaluru City,216,84,132,
30,Mysuru City,212,60,152,
31,Mysuru Dist,170,64,106,
32,Raichur,189,137,52,
33,Shivamogga,192,103,89,
34,Tumakuru,259,46,213,
35,Udupi,148,76,72,
,,,,,
