Aadhaar e-Sign details of Chargesheet for the Month of January 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Udupi,101,86,85.15
2,Ballari,39,33,84.62
3,Hubballi Dharwad City,73,60,82.19
4,Belagavi Dist,57,45,78.95
5,Dharwad,13,10,76.92
6,Haveri,17,11,64.71
7,Dakshina Kannada,36,23,63.89
8,Chamarajanagar,24,14,58.33
9,Vijayapur,23,13,56.52
10,Bagalkot,29,16,55.17
11,Uttara Kannada,87,40,45.98
12,Shivamogga,80,31,38.75
13,Davanagere,90,34,37.78
14,Gadag,36,13,36.11
15,Koppal,18,5,27.78
16,Belagavi City,37,10,27.03
17,Chickballapura,83,21,25.30
18,Kalaburagi City,35,5,14.29
19,K.G.F,17,2,11.76
20,Karnataka Railways,9,1,11.11
21,Tumakuru,125,12,9.60
22,Chikkamagaluru,95,9,9.47
23,Mangaluru City,35,3,8.57
24,Bidar,53,4,7.55
25,Hassan,177,13,7.34
26,Kalaburagi,41,3,7.32
27,Mysuru Dist,125,9,7.20
28,Kodagu,31,2,6.45
29,Mandya,179,11,6.15
30,Bengaluru City,2086,103,4.94
31,Raichur,102,5,4.90
32,Mysuru City,151,5,3.31
33,Vijayanagara,31,1,3.23
34,Bengaluru Dist,45,0,0.00
35,Chitradurga,26,0,0.00
36,Kolar,53,0,0.00
38,Ramanagara,92,0,0.00
39,Yadgir,50,0,0.00
TOTAL,,4401,653,14.84
