Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Dharwad,196,196,100.00
2,Belagavi Dist,733,729,99.45
3,Chamarajanagar,250,243,97.20
4,Bagalkot,348,338,97.13
5,Vijayapur,537,520,96.83
6,Dakshina Kannada,222,208,93.69
7,Ballari,290,265,91.38
8,Hubballi Dharwad City,269,243,90.33
9,Uttara Kannada,318,283,88.99
10,Udupi,384,326,84.90
11,Gadag,218,169,77.52
12,Haveri,327,247,75.54
13,Mangaluru City,282,129,45.74
14,Koppal,242,109,45.04
15,Kodagu,172,64,37.21
16,Davanagere,424,138,32.55
17,Chickballapura,356,108,30.34
18,Kalaburagi City,265,66,24.91
19,K.G.F,149,30,20.13
20,Belagavi City,245,40,16.33
21,Kalaburagi,382,58,15.18
22,Bengaluru Dist,814,122,14.99
23,Bidar,374,56,14.97
24,Mandya,760,108,14.21
25,Hassan,613,73,11.91
26,Bengaluru City,5900,649,11.00
27,Mysuru Dist,606,65,10.73
28,Tumakuru,885,85,9.60
29,Shivamogga,706,65,9.21
30,Chikkamagaluru,476,43,9.03
31,Raichur,385,31,8.05
32,Karnataka Railways,78,6,7.69
33,Mysuru City,305,20,6.56
34,Vijayanagara,292,6,2.05
35,Ramanagara,577,9,1.56
36,Chitradurga,777,9,1.16
37,Yadgir,213,1,0.47
38,Kolar,333,0,0.00
TOTAL,,20703,5857,28.29
